INFO | 2016-10-25 00:50:11,593 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:50:17,241 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
ERROR | 2016-10-25 00:50:17,276 | index | saturday | saturday.htm
INFO | 2016-10-25 00:55:07,466 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:55:11,077 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
ERROR | 2016-10-25 00:55:11,092 | index | saturday | saturday.htm
INFO | 2016-10-25 00:55:19,755 | index | stars | Single page - /artists/biffy_clyro/puzzle/folding_stars
ERROR | 2016-10-25 00:55:19,768 | index | stars | folding.htm
INFO | 2016-10-25 00:56:16,242 | index | artists | Artist Selection - /artists/
INFO | 2016-10-25 00:56:19,536 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:56:23,084 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
ERROR | 2016-10-25 00:56:23,098 | index | puzzle | puzzle.htm
INFO | 2016-10-25 00:56:26,047 | index | blacksky | Album page - /artists/biffy_clyro/blackened_sky
ERROR | 2016-10-25 00:56:26,076 | index | blacksky | blacksky.htm
INFO | 2016-10-25 00:57:44,470 | index | artist | Artist page - /artists/biffy_clyro/
ERROR | 2016-10-25 00:57:44,543 | index | artist | biffy.htm
INFO | 2016-10-25 00:58:24,521 | index | root | Home Page - /
INFO | 2016-10-25 00:58:54,586 | index | artists | Artist Selection - /artists/
INFO | 2016-10-25 00:58:56,379 | index | albums | Album Selection - /albums/
INFO | 2016-10-25 00:58:58,123 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:59:00,653 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:59:02,948 | index | stars | Single page - /artists/biffy_clyro/puzzle/folding_stars
INFO | 2016-10-25 00:59:05,269 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:59:07,373 | index | blacksky | Album page - /artists/biffy_clyro/blackened_sky
INFO | 2016-10-25 00:59:09,885 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:59:11,521 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:59:15,217 | index | stars | Single page - /artists/biffy_clyro/puzzle/folding_stars
INFO | 2016-10-25 00:59:19,593 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:59:23,182 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:59:28,166 | index | root | Home Page - /
ERROR | 2016-10-25 00:59:32,318 | index | page_not_found | 404: Not Found
